,datetime,rsi
0,2023-05-24,55.98575
1,2023-05-23,54.79624
2,2023-05-22,63.24163
3,2023-05-19,66.71354
4,2023-05-18,66.51796
5,2023-05-17,62.07927
6,2023-05-16,60.81194
7,2023-05-15,60.81194
8,2023-05-12,62.25880
9,2023-05-11,65.68345
